id,park_id,park_name,park_address,area_code,has_outdoor,has_indoor,outdoor_fountain_count,outdoor_bottle_fillers,indoor_fixture_count,total_fixture_count,outdoor_remediated_count,indoor_remediated_count,outdoor_ever_elevated_count,indoor_ever_elevated_count,total_ever_elevated_count,max_lead_ever_ppb
228,0481,Ping Tom,1700 S WENTWORTH,C3,1,1,8,0,9,17,1,0,0,0,0,2.0
229,0482,Nash Comm. Ctr.,1833 E 71ST ST,S3,0,1,0,0,8,8,0,0,0,0,0,11.5
230,0485,Kennicott,4434 S LAKE PARK AVE,C6,0,1,0,0,12,12,0,0,0,7,7,390.0
231,0486,Winnemac,5001 N LEAVITT ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
232,0487,Broncho Billy,4437 N MAGNOLIA AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
233,0488,Challenger,1100 W IRVING PARK RD,,1,0,3,0,0,3,0,0,0,0,0,2.0
234,0492,Armstrong,4433 S ST LAWRENCE,,1,0,2,0,0,2,0,0,0,0,0,2.0
235,0494,Washington (Harold),5101 S HYDE PARK BLVD,,1,0,4,0,0,4,0,0,0,0,0,2.0
236,0497,Starr,2306 W MAYPOLE AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
237,0500,Park 500,730 S SPRINGFIELD AVE,,1,0,1,0,0,1,0,0,0,0,0,2.0
238,0501,Parsons,4701 W BELMONT AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
239,0504,Mandrake,900 E PERSHING RD.,C6,1,1,8,0,5,13,0,0,0,0,0,2.0
240,0505,Nottingham,7101 W 63RD ST,,1,0,2,0,0,2,0,0,0,0,0,5.4
241,0506,Harold Washington Meml.,7710 N PAULINA ST,,1,0,2,0,0,2,0,0,0,0,0,2.0
242,0507,Coliseum,1466 S WABASH AV,,1,0,4,0,0,4,0,0,0,0,0,2.0
243,0509,Renaissance,1300 W 79TH ST,,1,0,1,0,0,1,0,0,0,0,0,2.0
244,0510,Livingston Field,2139 W LEXINGTON ST,,1,0,2,0,0,2,0,0,0,0,0,2.0
245,0511,Ward,630 N KINGSBURY AVE,,1,0,5,0,0,5,0,0,0,0,0,2.0
246,0513,Webster,1357 S INDIANA AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
247,0514,Park 514,1434 N MONTICELLO AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
248,0515,Homan Square,3559 W ARTHINGTON ST,C2,0,1,0,0,6,6,0,0,0,0,0,2.3
249,0517,Park 517,5914-5924 N SHERIDAN RD,,1,0,2,0,0,2,0,0,0,0,0,2.0
250,0519,Park 519,1944 S ST LOUIS AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
251,0522,Wang,1719 W WOLFRAM ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
252,0524,Harris,6200 S DREXEL AVE,S3,0,1,0,0,13,13,0,1,0,3,3,100.0
253,0526,Stone (Bernard),3150 W PETERSON AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
254,0529,Park 529,2155 W WABANSIA AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
255,0530,Daley,3150 S WESTERN AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
256,0531,Palmisano,2859 S HALSTED ST,,1,0,2,0,0,2,0,0,0,0,0,2.4
257,0532,Williams-Davis,4101 S LAKE PARK AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
258,0533,North Park Village,5801 N PULASKI RD,N3,0,1,0,0,3,3,0,0,0,0,0,2.0
259,0534,Park 534,1301 S ST LOUIS AVE,,1,0,4,0,0,4,0,0,0,0,0,2.0
260,0535,Park 535,800 W WISCONSIN ST,,1,0,1,0,0,1,0,0,0,0,0,2.0
261,0539,Palmer Square,2200 N KEDZIE AVE,,1,0,4,0,0,4,0,0,0,0,0,2.0
262,0540,Park 540,2401 S FEDERAL,,1,0,6,0,0,6,0,0,0,0,0,2.0
263,0541,Pritzker,310-56 S STATE,,1,0,2,0,0,2,0,0,0,0,0,2.0
264,0542,Bartelme,115 S. SANGAMON ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
265,0544,Klein,3538-3540 N LINCOLN AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
266,0546,Lake Shore East,450 E BENTON PLACE,,1,0,8,0,0,8,0,0,0,0,0,2.0
267,0548,Major Taylor Bike Trail,10601 S MARTIN ST,,1,0,2,0,0,2,0,0,0,0,0,
268,0549,Logan Skate Park,2430 W LOGAN BLVD,,1,0,2,0,0,2,0,0,0,0,0,2.0
269,0550,Chicago Women's Park and Gardens,1801 S INDIANA AVE,C6,0,1,0,0,12,12,0,0,0,0,0,2.0
270,0551,Park 551,353 N DES PLAINES,,1,0,3,0,0,3,0,0,0,0,0,2.0
271,0552,Park 552,4901-09 W BELMONT AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
272,0553,La Villita,2800 S SACRAMENTO,,1,0,8,0,0,8,0,0,0,0,0,2.0
273,0554,De Burgos,1805 N ALBANY AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
274,0556,Logan Dog Park,2529 W LOGAN BLVD (2531 N Artesian),,1,0,2,0,0,2,0,0,0,0,0,2.0
275,0558,King-Lockhart,10609 S WESTERN,,1,0,2,0,0,2,0,0,0,0,0,2.7
276,0560,Jesse White,410 W CHICAGO AVE,C3,0,1,0,0,5,5,0,0,0,0,0,2.0
277,0561,Anderson (Fred),1629 S WABASH,,1,0,6,0,0,6,0,0,0,0,0,2.0
278,0564,Big Marsh,1958 E 116th Street,,1,0,3,1,0,3,0,0,0,0,0,2.0
279,0568,West Ridge Nature Park,5801 N WESTERN AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
280,0569,Park 569,1358 W MONROE ST,,1,0,2,0,0,2,0,0,0,0,0,2.0
281,0570,Donahue,1230 W SCHOOL ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
282,0571,Park 571,2828 S ELEANOR ST,C5,0,1,0,0,5,5,0,0,0,0,0,5.3
283,0572,Bloomingdale Trail,1600-3750 W BLOOMINGDALE AVE,,1,0,9,0,0,9,0,0,0,0,0,2.0
284,0574,Park 574,2554 W JACKSON BLVD,,1,0,3,0,0,3,0,0,0,0,0,2.0
285,0577,Morgan Park Sports Center,11505 S WESTERN AVE,S4,0,1,0,0,6,6,0,0,0,0,0,2.0
286,0578,West Haven,1919 W MAYPOLE AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
287,0580,Park 580,4139 N OAK PARK AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
288,0583,Park 583,10108 S EXCHANGE AVE,,1,0,2,0,0,2,0,0,0,0,0,2.0
289,0590,Park 590,3938-40 S INDIANA AVE,,1,0,4,0,0,4,0,0,2,0,2,25.2
290,0591,Park 591,3902 S LAKE PARK AVE,,1,0,6,0,0,6,0,0,0,0,0,2.0
291,0592,Park 592,4149-53 S VINCENNES AVE,,1,0,6,0,0,6,0,0,0,0,0,2.0
292,0593,Park 593,4546 N KEDVALE AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
293,0596,Park 596,4830 S WESTERN AVE,,1,0,6,0,0,6,0,0,0,0,0,2.0
294,1001,Rainbow Beach,2873 E 75TH ST,S6,1,1,5,0,6,11,2,0,1,0,1,35.4
295,1002,Clarendon,4501 N CLARENDON AVE,N5,1,1,6,0,9,15,0,0,0,3,3,589.0
296,1004,Bradley,9729 S YATES AVE,S6,1,1,4,1,3,7,2,1,0,2,2,143.0
297,1006,Commercial Club,1845 W RICE ST,C1,1,1,3,0,3,6,0,0,0,0,0,3.1
298,1008,Hermitage,5839 S WOOD ST,S2,1,1,3,0,1,4,1,0,0,1,1,48.4
299,1010,Kenwood Community Center,1330 E 50TH ST,,1,0,7,1,0,7,1,0,0,0,0,8.2
300,1011,Lawler,5210 W 64TH ST,S1,1,1,5,0,2,7,1,0,0,0,0,13.1
301,1012,O'Hallaren,8335 S HONORE ST,S4,1,1,2,0,1,3,0,0,0,0,0,2.0
302,1013,Leone Beach,1222 W TOUHY AVE,N5,0,1,0,0,1,1,0,0,0,0,0,6.3
303,1014,Sherwood,5705 S SHIELDS AVE,S2,1,1,6,1,5,11,0,0,0,0,0,13.4
304,1015,Smith (Joseph Higgins),2526 W GRAND AVE,C1,1,1,6,0,3,9,1,0,0,0,0,3.6
305,1016,Strohacker,4347 W 54TH ST,,1,0,1,0,0,1,0,0,1,0,1,30.7
306,1017,Trebes,2250 N CLIFTON AVE,,1,0,3,1,0,3,0,0,0,0,0,2.0
307,1018,Wilson Community Center,3225 S RACINE AVE,C5,0,1,0,0,1,1,0,0,0,0,0,4.6
308,1019,Adams (George & Adele),1919 N SEMINARY AVE,N6,1,1,4,1,2,6,1,1,0,2,2,21.0
309,1020,Anderson,3748 S PRAIRIE AVE,C6,1,1,3,1,2,5,1,0,1,0,1,128.0
310,1021,Augusta,4431 W AUGUSTA BLVD,C1,1,1,3,0,1,4,1,1,1,1,2,57.6
311,1022,Barrett,2022 W CERMAK RD,C2,1,1,1,0,1,2,0,0,0,0,0,2.0
312,1024,Bosley,3044 S BONFIELD ST,,1,0,3,1,0,3,1,0,0,0,0,2.9
313,1025,Taylor-Lauridsen,704 W 42ND ST,C5,1,1,3,0,6,9,0,0,0,0,0,2.0
314,1026,Clark (John),4615 W JACKSON BLVD,C2,1,1,2,0,2,4,0,0,0,0,0,5.4
315,1027,Dean,1356 N DEAN ST,,1,0,3,0,0,3,0,0,0,0,0,2.0
316,1028,Micek,5311 S HAMILTON AVE,,1,0,3,0,0,3,0,0,0,0,0,2.0
317,1029,Donovan,3620 S LITUANICA AVE,C5,1,1,1,0,1,2,0,0,1,0,1,15.4
318,1030,Fosco,1313 S THROOP ST,C3,1,1,4,0,15,19,0,0,0,0,0,2.0
319,1031,Gross,2708 W LAWRENCE AVE,,1,0,2,0,0,2,0,0,0,0,0,7.9
320,1032,Haas,2402 N WASHTENAW AVE,N6,1,1,3,0,6,9,0,0,0,0,0,2.0
321,1033,Harding (George),4912 S CALUMET AVE,,1,0,1,0,0,1,0,0,0,0,0,3.6
322,1036,Hoyne,3417 S HAMILTON AVE,C5,1,1,3,1,1,4,1,0,0,1,1,26.4
323,1038,Indian Road,6010 W MATSON AVE,N1,1,1,3,0,2,5,0,0,3,1,4,42.7
324,1039,Kedvale,4140 W HIRSCH ST,C1,1,1,3,0,1,4,0,0,0,1,1,81.2
325,1040,Kells,3201 W CHICAGO AVE,,1,0,1,0,0,1,1,0,0,0,0,
326,1042,Ken-Well,2945 N KENOSHA AVE,N2,1,1,3,1,2,5,1,1,0,1,1,19.5
327,1043,Willye White,1610 W HOWARD,N5,1,1,2,0,5,7,0,0,0,0,0,2.0
328,1044,Lowe,5203 S LOWE AVE,S2,1,1,3,0,3,6,0,0,0,0,0,2.3
329,1045,Maplewood,1640 N MAPLEWOOD AVE,,1,0,3,1,0,3,1,0,0,0,0,2.0
330,1046,Marshfield,1637 W 87TH ST,,1,0,2,0,0,2,0,0,0,0,0,14.6
331,1047,Garibaldi,1520 W POLK ST,,1,0,1,0,0,1,0,0,0,0,0,8.9
332,1048,Memorial,149 W 73RD ST,,1,0,2,0,0,2,0,0,0,0,0,2.0
333,1049,Meyering,7140 S DR MARTIN LUTHER KING J,S3,1,1,3,0,1,4,0,0,0,1,1,31.5
334,1050,Moore,5085 W ADAMS ST,C2,1,1,3,0,2,5,0,0,0,0,0,2.0
335,1051,Moran,5727 S RACINE AVE,S2,1,1,1,0,1,2,0,0,0,0,0,14.8
336,1052,Munroe,2617 W 105TH ST,S4,1,1,4,0,1,5,0,0,0,0,0,14.3
337,1054,Normandy,6660 W 52ND ST,S1,1,1,6,1,2,8,2,1,3,2,5,24.0
338,1055,Little Venice,2251 W 50TH PL,,1,0,1,0,0,1,0,0,1,0,1,18.2
339,1057,Paschen,1932 W LUNT AVE,,1,0,1,0,0,1,0,0,1,0,1,77.3
340,1060,McKiernan,10714 S SAWYER AVE,S4,1,1,1,0,2,3,0,0,1,0,1,45.0
341,1061,Schreiber,1552 W SCHREIBER AVE,N4,1,1,5,0,1,6,1,0,0,0,0,2.0
342,1062,Kucinski-Murphy,1635 W 33RD PL,,1,0,1,0,0,1,1,0,0,0,0,
343,1064,Tilton,305 N KOSTNER,,1,0,1,0,0,1,0,0,0,0,0,2.0
344,1067,Veterans' Memorial,2820 E 98TH ST,S6,1,1,3,0,1,4,0,0,0,1,1,22.2
345,1070,Washtenaw,2521 S WASHTENAW AVE,,1,0,3,0,0,3,0,0,0,0,0,3.2
346,1071,Wilson (John),1122 W 34TH PL,C5,1,1,2,0,1,3,1,0,2,0,2,39.2
347,1072,Wolfe,3325 E 108TH ST,S6,1,1,1,0,1,2,0,0,0,1,1,106.0
348,1073,Woodhull,7340 S EAST END AVE,S3,1,1,3,0,4,7,0,0,0,0,0,2.0
349,1074,Wrightwood,2534 N GREENVIEW AVE,,1,0,4,0,0,4,0,0,0,0,0,2.0
350,1079,Krause,10558 S AVENUE L,,1,0,3,0,0,3,1,0,0,0,0,2.0
